hip	spect	ext	sigma_ext
61710	K2III	-0.09	0.03
61721	K2III:	-0.15	0.04
61725	K0III	-0.09	0.01
61742	K0V:	-0.25	0.03
61759	K0III:	-0.04	0.01
61769	G5/G6V:	-0.05	0.01
61781	F2V:	-0.12	0.04
61801	K1:III:	-0.34	0.02
61803	K2III	-0.06	0.02
61810	G5V	-0.10	0.03
61821	G5V:	-0.11	0.02
61839	M7II-III:	-0.86	0.02
61840	G2V	-0.03	0.00
61844	F5V:	-0.05	0.02
61856	K2III:	-0.15	0.02
61860	K5III:	-0.37	0.02
61865	G5V:	-0.13	0.02
61904	K2III:	-0.08	0.03
61905	K3III	-0.04	0.01
61907	K2V	-0.03	0.00
61913	G5V:	-0.15	0.02
61914	G0V:	-0.15	0.02
61925	K0III	-0.07	0.01
61936	A2III	-0.04	0.00
61937	A7V	-0.02	0.01
61940	K1/K2III	-0.42	0.05
61946	K3V	-0.03	0.00
61961	G5V:	-0.09	0.02
61962	K0III:	-0.06	0.01
61968	A2V	-0.05	0.00
61979	G0V:	-0.07	0.02
61985	K0V:	-0.05	0.02
61990	F8V:	-0.06	0.02
61995	K2III-IV	-0.12	0.00
62007	K5III:	-0.19	0.04
62014	G1V	-0.02	0.00
62031	K5III:	-0.07	0.02
62040	G7III	-0.15	0.02
62042	G5V:	-0.11	0.03
62058	B9V	-0.01	0.00
62070	M3III:	-0.06	0.01
62077	G5V:	-0.09	0.01
62080	K2III:	-0.11	0.02
62093	G8V	-0.01	0.00
62097	M3III	-0.13	0.01
62103	G8III	-0.08	0.02
62106	K2III:	-0.19	0.03
62121	K0III:	-0.30	0.02
62124	G8III	-0.09	0.01
62145	K3V	-0.05	0.01
62147	K0III:	-0.08	0.02
62159	G6III	-0.16	0.02
62164	K2III:	-0.16	0.03
62175	G5V	-0.02	0.00
62190	K0V:	-0.05	0.00
62202	K5III:	-0.38	0.02
62213	K2III	-0.12	0.01
62220	K2III:	-0.15	0.04
62229	K3V	-0.05	0.00
62231	K7V:	-0.16	0.01
62240	G5V:	-0.07	0.01
62244	G0V:	-0.24	0.04
62247	M5III	-0.18	0.01
62248	A0V:	-0.07	0.01
62249	G5V:	-0.25	0.01
62250	K2III:	-0.12	0.03
62259	K5III:	-0.50	0.04
62268	K1III	-0.06	0.00
62273	K0V:	-0.32	0.02
62275	G0V:	-0.08	0.02
62290	K0III/IV	-0.12	0.02
62304	G5V:	-0.03	0.00
62325	K1III-IV	-0.12	0.01
62335	G0V:	-0.12	0.02
62340	G0V:	-0.05	0.02
62350	G5V:	-0.05	0.02
62355	M2III	-0.21	0.01
62363	F8V:	-0.04	0.01
62384	G5V:	-0.09	0.02
62388	K0III:	-0.13	0.01
62402	A9V	-0.06	0.00
62412	G3V	-0.05	0.00
62432	M3/M4III	-0.17	0.04
62435	K5V:	-0.15	0.00
62438	F8V	-0.02	0.00
62443	M4III	-0.11	0.00
62452	M4V:	-0.03	0.00
62453	G5V:	-0.13	0.02
62455	K3II-III	-0.03	0.00
62459	K0III:	-0.07	0.01
62463	K1III	-0.02	0.00
62473	G0V:	-0.12	0.04
62477	G5V:	-0.16	0.02
62487	G5V:	-0.16	0.02
62498	F3V	-0.09	0.02
62501	G8III	-0.06	0.02
62510	K2III:	-0.06	0.02
62518	M6III	-0.54	0.13
62523	G7V	-0.01	0.00
62537	F8V:	-0.08	0.02
62546	F0V:	-0.05	0.01
62550	G0V:	-0.13	0.02
62551	K2III	-0.06	0.01
62565	K2III:	-0.10	0.03
62572	A1III	-0.02	0.00
62575	K3III	-0.06	0.01
62580	K2III	-0.10	0.01
62592	K2III	-0.06	0.00
62593	K0III	-0.07	0.02
62597	K0III:	-0.13	0.02
62601	K0III:	-0.10	0.02
62604	K0III:	-0.11	0.02
62607	G8V	-0.05	0.01
62611	M3/M4III	-0.16	0.04
62612	K0III:	-0.13	0.02
62615	F5V:	-0.08	0.02
62628	G0V:	-0.04	0.00
62653	K0III	-0.03	0.00
62674	F8V:	-0.10	0.02
62703	A5V	-0.02	0.00
62724	F6III	-0.05	0.01
62733	K5III:	-0.20	0.06
62736	K0III	-0.06	0.02
62757	K4III:	-0.09	0.00
62777	G5V:	-0.23	0.02
62809	G3V	-0.03	0.01
62821	G8Ib/II	-0.03	0.01
62825	A7V	-0.04	0.01
62859	K8V:	-0.21	0.02
62873	G9III	-0.06	0.02
62884	G0V:	-0.13	0.02
62891	M3III	-0.15	0.01
62898	G5V:	-0.11	0.03
62902	K5III:	-0.22	0.05
62905	K7V:	-0.37	0.02
62906	F8V:	-0.15	0.02
62910	G0V:	-0.06	0.02
62924	F8V:	-0.20	0.02
62925	G0V	-0.06	0.01
62928	F5V:	-0.10	0.03
62929	K0III:	-0.07	0.01
62943	K1III	-0.07	0.00
62950	F5III:	-0.12	0.03
62960	G5V:	-0.31	0.02
62965	G1V	-0.12	0.00
62966	F8V:	-0.10	0.02
62975	K0III:	-0.10	0.01
63023	K8V:	-0.13	0.03
63024	M5III	-0.35	0.01
63027	K5III:	-0.19	0.02
63051	G0V:	-0.09	0.02
63053	F8V	-0.05	0.02
63080	K0III:	-0.07	0.02
63090	M3III	-0.08	0.01
63093	K0III:	-0.07	0.01
63101	G5V:	-0.25	0.02
63102	K1III	-0.13	0.02
63116	G5V:	-0.21	0.02
63122	G5V:	-0.15	0.03
63125	A0V:	-0.10	0.01
63132	K0V	-0.01	0.00
63142	K0III	-0.14	0.00
63161	K5III:	-0.27	0.03
63163	F8V:	-0.09	0.01
63164	K7III:	-0.19	0.04
63174	K5III:	-0.20	0.02
63176	K2III	-0.14	0.03
63211	K0III-IV	-0.02	0.00
63254	K5III:	-0.25	0.03
63255	K0V:	-0.33	0.02
63259	K2III:	-0.10	0.02
63304	K5III:	-0.32	0.04
63310	K0III:	-0.04	0.01
63339	K0V:	-0.29	0.02
63349	K2III:	-0.26	0.07
63356	G9II-III	-0.03	0.01
63361	K0III:	-0.04	0.01
63362	K0III:	-0.03	0.00
63402	K0III	-0.07	0.02
63418	F5V:	-0.05	0.00
63425	K5III:	-0.05	0.02
63467	K7V	-0.09	0.00
63484	K0III:	-0.29	0.02
63498	G5V:	-0.15	0.04
63504	G0V:	-0.19	0.02
63508	F8V:	-0.10	0.02
63510	M2V:	-0.04	0.00
63518	K1III	-0.08	0.01
63530	G2V	-0.06	0.01
63532	G8III	-0.20	0.00
63533	K0III	-0.06	0.01
63548	G8V	-0.00	0.00
63549	K0III:	-0.15	0.03
63551	A2V:	-0.04	0.01
63553	F8V:	-0.09	0.02
63560	M3.5III:	-0.12	0.02
63574	F8V:	-0.16	0.02
63579	F5V:	-0.09	0.02
63584	F6V	-0.04	0.00
63594	G0V:	-0.06	0.02
63604	G5V:	-0.18	0.02
63613	K2III	-0.01	0.00
63614	G0V:	-0.08	0.02
63620	F6V	-0.03	0.01
63621	G5V:	-0.21	0.02
63635	K2III	-0.10	0.02
63642	M8III	-0.94	0.03
63650	K0III/IV	-0.11	0.02
63666	K0III:	-0.04	0.01
63668	G0V:	-0.11	0.02
63691	G5V:	-0.29	0.03
63710	F8V:	-0.13	0.03
63737	K0/K1III	-0.21	0.04
63752	M4.5III:	-0.35	0.02
63753	K5III:	-0.30	0.02
63781	F8V:	-0.14	0.03
63810	K0III:	-0.05	0.01
63815	G0V:	-0.12	0.02
63838	K0III	-0.06	0.01
63843	G2V:	-0.19	0.04
63849	F5III	-0.04	0.01
63857	G8III	-0.13	0.02
63875	G5V:	-0.14	0.04
63891	K0III	-0.10	0.02
63909	G5V:	-0.06	0.02
63923	G0V	-0.06	0.02
63949	K0III:	-0.06	0.02
63950	M5III	-0.34	0.02
63960	K0III	-0.05	0.01
63981	K1III	-0.09	0.01
63997	K0III:	-0.11	0.02
64015	K5III:	-0.22	0.02
64028	G8III	-0.22	0.01
64029	K0III:	-0.05	0.01
64048	K3III	-0.11	0.00
64050	G5III:	-0.43	0.09
64077	K4III	-0.01	0.00
64078	K2III	-0.06	0.00
64080	K0V	-0.13	0.04
64083	K1III	-0.02	0.01
64085	G5III	-0.05	0.02
64098	F5V:	-0.10	0.02
64110	K0V:	-0.32	0.03
64122	K3III	-0.11	0.00
64152	F8V:	-0.07	0.02
64153	G8III/IV	-0.10	0.03
64163	K2III:	-0.21	0.01
64180	M0V:	-0.52	0.17
64181	K0III:	-0.01	0.00
64182	G5V:	-0.06	0.02
64183	F8V:	-0.07	0.02
64194	K0III:	-0.08	0.02
64206	G5V:	-0.11	0.02
64212	K3III	-0.12	0.01
64214	G0/G1V	-0.06	0.02
64222	K2III	-0.10	0.02
64231	A1V	-0.03	0.00
64234	G5V:	-0.08	0.02
64254	G5V:	-0.07	0.02
64262	K5V:	-0.13	0.02
64267	M8III:	-1.21	0.05
64278	G0V:	-0.15	0.03
64288	K0III:	-0.12	0.02
64293	K2III	-0.58	0.01
64305	F9V	-0.07	0.02
64306	K2III	-0.35	0.10
64318	G5V:	-0.20	0.02
64321	G8V:	-0.15	0.00
64330	G5V:	-0.16	0.03
64353	K1III	-0.09	0.02
64355	K0III:	-0.09	0.01
64360	K5III:	-0.17	0.02
64361	G0V:	-0.06	0.02
64368	F5V	-0.01	0.00
64374	G0V:	-0.12	0.02
64376	K2III:	-0.20	0.03
64387	K0III:	-0.06	0.01
64407	F6V	-0.01	0.00
64443	K0V:	-0.06	0.00
64445	M0III	-0.07	0.01
64448	K5III:	-0.13	0.04
64449	G8III	-0.07	0.00
64450	K2III	-0.30	0.08
64467	K2III:	-0.23	0.03
64468	K0III:	-0.09	0.01
64469	K2III	-0.60	0.02
64484	F7V	-0.02	0.00
64487	F8V:	-0.16	0.04
64500	K0V:	-0.09	0.03
64502	G5V:	-0.14	0.01
64503	K0III	-0.11	0.03
64513	K0III:	-0.17	0.03
64522	K2III	-0.05	0.01
64526	G0V:	-0.08	0.02
64538	G5V:	-0.04	0.01
64551	F7V	-0.03	0.01
64567	G3V	-0.03	0.00
64569	M7III	-0.79	0.01
64577	G8III/IV	-0.07	0.02
64589	K5III:	-0.12	0.03
64593	K2III	-0.31	0.07
64604	F8V:	-0.18	0.02
64607	M0III	-0.06	0.01
64608	K0III:	-0.17	0.02
64619	G0III	-0.12	0.02
64626	K2V	-0.10	0.00
64631	K5III:	-0.07	0.02
64639	G5V:	-0.21	0.02
64641	K2III:	-0.10	0.02
64646	K0III:	-0.04	0.01
64649	G3V	-0.04	0.00
64651	K1III	-0.14	0.00
64655	G0V:	-0.05	0.01
64657	G5V:	-0.18	0.03
64658	B8II/III	-0.02	0.00
64683	K5III:	-0.37	0.02
64685	K0V:	-0.04	0.00
64689	G5V:	-0.17	0.02
64691	G0V:	-0.11	0.01
64694	K0III	-0.21	0.02
64698	G5V:	-0.01	0.00
64707	G0V:	-0.13	0.02
64726	G5V:	-0.06	0.02
64742	K5III:	-0.15	0.04
64756	G5V:	-0.17	0.02
64759	F7V	-0.03	0.00
64761	G8V	-0.02	0.00
64768	M6III	-0.33	0.02
64773	K1III	-0.13	0.02
64786	K0III:	-0.28	0.01
64787	K0V:	-0.21	0.02
64794	G5V:	-0.05	0.02
64795	G0V:	-0.09	0.02
64799	F5V:	-0.07	0.01
64803	K0III	-0.07	0.00
64812	G0V:	-0.10	0.03
64816	K0V:	-0.19	0.03
64827	F0V:	-0.08	0.02
64838	F0V	-0.04	0.01
64839	F8III:	-0.12	0.02
64844	F3III	-0.07	0.01
64854	G5V:	-0.23	0.02
64865	F8V:	-0.00	0.00
64872	K0III	-0.21	0.01
64880	M2V:	-0.13	0.01
64887	G0V:	-0.10	0.02
64889	K0V:	-0.33	0.01
64898	G5V:	-0.15	0.02
64906	A0V	-0.03	0.00
64920	K0III	-0.05	0.00
64922	G0V:	-0.12	0.01
64927	K4.5III	-0.05	0.01
64930	K0III:	-0.09	0.01
64931	K0III	-0.06	0.01
64932	K0III:	-0.04	0.01
64939	G5V:	-0.05	0.02
64946	K2III:	-0.11	0.02
64958	G0V:	-0.08	0.02
64964	K2III:	-0.22	0.02
64965	K5V:	-0.14	0.01
64983	K2III:	-0.08	0.01
64997	K0III:	-0.11	0.02
65003	K3III	-0.19	0.02
65006	M4-M6-A:III	-0.44	0.11
65012	M3V:	-0.07	0.02
65018	K0V:	-0.11	0.02
65024	K2III:	-0.17	0.04
65030	K0III:	-0.07	0.02
65034	G0V	-0.04	0.00
65047	G6III:	-0.03	0.00
65048	K2III:	-0.09	0.02
65049	G8III	-0.22	0.01
65060	G5V:	-0.07	0.02
65064	K0III:	-0.12	0.02
65067	K2III:	-0.05	0.01
65074	K0III:	-0.03	0.01
65077	G8V	-0.14	0.03
65091	K2III	-0.38	0.01
65117	K1III	-0.10	0.01
65131	K0III:	-0.11	0.02
65133	K8V:	-0.18	0.02
65139	F2V:	-0.04	0.01
65145	K2III	-0.13	0.04
65147	G8/K0V	-0.20	0.05
65154	K0III:	-0.13	0.01
65206	G0V:	-0.10	0.02
65209	K2III:	-0.04	0.01
65210	A1V	-0.08	0.00
65211	K2III:	-0.09	0.03
65227	F8V	-0.08	0.02
65261	K0III:	-0.18	0.01
65265	K0V:	-0.12	0.01
65273	K0III:	-0.10	0.02
65280	A0V	-0.05	0.00
65301	K0III	-0.04	0.00
65302	G5V	-0.01	0.00
65306	K5III	-0.13	0.02
65309	M4III:	-0.16	0.01
65322	F8V:	-0.09	0.02
65324	M4/M5III	-0.35	0.05
65330	K0III	-0.29	0.01
65336	G0V:	-0.06	0.01
65349	G0V:	-0.14	0.03
65353	G5V:	-0.32	0.04
65364	G5III:	-0.32	0.08
65375	K1III	-0.11	0.02
65383	G8V	-0.04	0.00
65392	K0III:	-0.12	0.01
65397	G5V:	-0.32	0.09
65399	G5III:	-0.17	0.02
65401	K0V:	-0.06	0.02
65424	K2III:	-0.18	0.04
65427	K5:V:	-0.03	0.01
65437	K0III:	-0.07	0.02
65440	M0III:	-0.05	0.02
65443	G5V:	-0.30	0.00
65454	G5V	-0.07	0.00
65458	F5V:	-0.01	0.00
65462	G5V:	-0.11	0.02
65469	K3III	-0.27	0.02
65478	F8V:	-0.08	0.02
65484	F8V:	-0.10	0.01
65485	K1III	-0.33	0.02
65495	F2V:	-0.09	0.01
65513	G5V:	-0.20	0.02
65517	K0/K2V:	-0.26	0.07
65526	G0III	-0.11	0.01
65538	K0III:	-0.08	0.03
65540	K0III:	-0.05	0.01
65550	K0III:	-0.05	0.00
65557	K1III	-0.16	0.00
65560	K4III	-0.04	0.01
65563	F8V:	-0.10	0.02
65564	K2III:	-0.09	0.03
65574	K3V	-0.06	0.01
65592	K7III:	-0.14	0.02
65598	G5V:	-0.08	0.02
65602	K3V	-0.07	0.00
65609	F8V:	-0.14	0.03
65612	G5V:	-0.27	0.02
65626	K3V	-0.05	0.00
65638	K5III:	-0.25	0.03
65639	K1III	-0.01	0.00
65646	K5V:	-0.17	0.01
65648	K2III:	-0.18	0.02
65650	G0III	-0.13	0.02
65651	K7V	-0.07	0.02
65661	F5V:	-0.10	0.02
65665	G0III:	-0.05	0.02
65673	K1III	-0.07	0.00
65675	K0III	-0.07	0.02
65678	F0V:	-0.04	0.01
65703	K0V:	-0.27	0.03
65713	K2:III:	-0.20	0.03
65714	M4V:	-0.05	0.00
65716	G0V:	-0.15	0.03
65732	K2III:	-0.16	0.02
65736	K0V:	-0.23	0.03
65747	G5III	-0.16	0.02
65750	K0V:	-0.06	0.00
65768	F5V:	-0.03	0.00
65770	F0V:	-0.07	0.01
65772	K0III:	-0.10	0.01
65778	K5III:	-0.42	0.02
65807	K5III:	-0.27	0.04
65808	G8IV/V	-0.02	0.00
65812	M0III	-0.12	0.02
65814	K2III:	-0.20	0.02
65830	K2III	-0.12	0.03
65838	G0V:	-0.11	0.02
65840	K5III:	-0.18	0.03
65854	G5V:	-0.14	0.03
65855	K0III:	-0.07	0.01
65867	K0III:	-0.01	0.00
65882	G0III	-0.16	0.02
65887	K0III:	-0.13	0.01
65891	K0III	-0.03	0.01
65900	G5III	-0.20	0.01
65907	F8V:	-0.08	0.01
65935	K2III	-0.30	0.02
65946	K0V:	-0.29	0.02
65947	K1III	-0.09	0.02
65951	K2III	-0.12	0.01
65956	K5V	-0.08	0.02
65971	G2V	-0.05	0.01
65985	K0V:	-0.49	0.02
66015	A7IV/V	-0.02	0.00
66019	K1III	-0.08	0.00
66031	F5V:	-0.06	0.02
66033	K0III:	-0.21	0.01
66049	K0III:	-0.04	0.01
66067	K7V:	-0.27	0.01
66076	F8V:	-0.07	0.02
66082	K0III:	-0.07	0.02
66084	K0III:	-0.13	0.03
66085	K0III	-0.10	0.02
66087	K1/K2III:	-0.45	0.05
66098	K0III	-0.07	0.00
66121	F6V	-0.01	0.00
66127	K2V:	-0.09	0.02
66140	K5III:	-0.20	0.03
66145	K4III	-0.09	0.02
66159	F5V:	-0.16	0.01
66163	A5V:	-0.05	0.01
66168	G0V:	-0.11	0.03
66175	G5III	-0.15	0.01
66183	G8:III	-0.15	0.02
66184	K2III:	-0.17	0.02
66186	K5III	-0.13	0.02
66192	K0V:	-0.11	0.01
66194	K8V:	-0.22	0.02
66209	G8V	-0.09	0.02
66213	G5V:	-0.07	0.02
66214	F8V:	-0.09	0.02
66219	K4V	-0.04	0.00
66222	M0.5V:	-0.04	0.00
66234	A5V	-0.02	0.01
66252	K7V	-0.06	0.02
66264	G0V:	-0.12	0.02
66277	F8V:	-0.05	0.02
66280	K2III:	-0.12	0.01
66288	K5III:	-0.09	0.02
66294	F0III	-0.07	0.01
66306	K5III:	-0.06	0.02
66326	K1III	-0.07	0.00
66327	K2III:	-0.13	0.02
66345	M4III	-0.24	0.01
66353	M0III	-0.05	0.01
66364	M0III:	-0.05	0.02
66374	K5III:	-0.44	0.02
66381	K0/K1III	-0.19	0.04
66382	K0III:	-0.04	0.01
66391	K2III:	-0.16	0.00
66399	K5III:	-0.24	0.05
66409	F8V:	-0.07	0.02
66413	M0V:	-0.33	0.01
66414	F8V:	-0.08	0.02
66439	G8V	-0.10	0.02
66452	K2III:	-0.06	0.02
66493	G5V:	-0.07	0.02
66495	K0/K1III	-0.43	0.04
66498	K0III	-0.08	0.02
66508	K0III	-0.09	0.02
66517	K0III:	-0.05	0.02
66526	G5V:	-0.09	0.02
66532	K5III:	-0.31	0.04
66541	A2V:	-0.19	0.01
66562	M5III:	-0.33	0.02
66579	K2III	-0.12	0.02
66583	K5III:	-0.28	0.02
66584	K2III:	-0.31	0.02
66589	K5V:	-0.18	0.02
66593	K8V:	-0.22	0.02
66594	K3III	-0.07	0.01
66599	F8V:	-0.04	0.01
66606	K2III:	-0.20	0.02
66610	M3III	-0.19	0.01
66619	K0III	-0.05	0.01
66625	M2V:	-0.12	0.02
66627	K1III	-0.08	0.02
66648	K1/K2V	-0.09	0.03
66654	G5III	-0.26	0.03
66660	F5V	-0.02	0.01
66661	G5III:	-0.42	0.07
66666	M8III	-0.79	0.03
66670	K5III:	-0.33	0.02
66675	M0V	-0.02	0.00
66705	K2III:	-0.21	0.01
66708	G0V:	-0.01	0.00
66711	K1III	-0.12	0.00
66713	G0V:	-0.19	0.01
66719	F0V:	-0.06	0.02
66720	K0III:	-0.07	0.02
66723	G5V:	-0.19	0.02
66734	G0V:	-0.16	0.02
66746	K5V:	-0.72	0.03
66760	K0III	-0.11	0.02
66769	F5V:	-0.05	0.02
66770	K0V:	-0.05	0.02
66773	K0III:	-0.10	0.02
66788	G5V:	-0.14	0.04
66789	K5III:	-0.34	0.04
66815	G5V:	-0.13	0.01
66816	M4III	-0.13	0.04
66825	M3III:	-0.06	0.01
66840	M0V	-0.11	0.00
66846	K0V:	-0.15	0.03
66863	K0III:	-0.13	0.01
66865	K5V:	-0.23	0.02
66877	F5V:	-0.07	0.02
66881	G0V:	-0.09	0.02
66885	G5/G6V	-0.05	0.01
66886	K7V	-0.09	0.00
66899	M0III:	-0.03	0.01
66900	K2III:	-0.19	0.02
66924	K0III	-0.01	0.00
66928	K0III:	-0.11	0.02
66931	K0III:	-0.12	0.02
66945	F8V:	-0.12	0.01
66949	G0V:	-0.15	0.02
66954	K8V:	-0.22	0.00
66955	G5V:	-0.18	0.02
66959	G5III:	-0.18	0.02
66971	K2III	-0.10	0.02
66989	K0V:	-0.10	0.02
66998	G5V:	-0.22	0.03
67033	F8V:	-0.08	0.02
67036	A0V:	-0.09	0.01
67037	K2III:	-0.19	0.02
67039	G5V:	-0.22	0.02
67044	G5V:	-0.27	0.03
67059	K1III	-0.08	0.01
67069	G2V	-0.09	0.00
67085	F8V:	-0.24	0.02
67092	M2V:	-0.15	0.02
67106	K0V:	-0.18	0.01
67110	K2III	-0.06	0.02
67113	G5V:	-0.21	0.05
67146	G1V	-0.03	0.00
67148	K0III:	-0.12	0.02
67151	F8V:	-0.13	0.02
67155	M3V	-0.10	0.03
67158	G5V:	-0.23	0.02
67159	K1III	-0.12	0.03
67161	K2III:	-0.11	0.03
67171	K3III	-0.42	0.04
67183	F5V:	-0.04	0.01
67193	K0III	-0.10	0.03
67198	G5V:	-0.20	0.03
67210	G9III	-0.02	0.01
67220	K0III:	-0.06	0.02
67221	M0III:	-0.14	0.02
67235	K1III/IV	-0.08	0.02
67240	G5V	-0.15	0.02
67245	K1III:	-0.12	0.04
67249	K5III:	-0.14	0.02
67266	K0III:	-0.39	0.09
67280	G0V:	-0.15	0.03
67285	K5V	-0.15	0.03
67291	M0V	-0.20	0.01
67298	M4/M5III	-0.27	0.05
67305	G3IV-V	-0.02	0.01
67312	K5III:	-0.12	0.03
67314	G3III	-0.21	0.03
67323	K0III:	-0.16	0.04
67333	G0V:	-0.03	0.00
67335	F8V:	-0.12	0.02
67338	K1III	-0.01	0.00
67343	G5V:	-0.16	0.03
67355	K0III:	-0.10	0.01
67377	G5V:	-0.10	0.00
67382	F5V:	-0.12	0.02
67383	G0V:	-0.19	0.02
67392	K2III:	-0.10	0.01
67401	G0V	-0.02	0.00
67412	K0V:	-0.08	0.02
67416	K5III:	-0.24	0.02
67419	M7III:	-0.68	0.02
67429	K2III:	-0.17	0.03
67443	F8V:	-0.13	0.02
67447	G0V:	-0.13	0.01
67457	M5III	-0.28	0.09
67460	G2V	-0.07	0.02
67463	K0III:	-0.08	0.01
67470	F8V	-0.03	0.00
67486	G0V:	-0.17	0.05
67489	K2III:	-0.05	0.01
67491	K2III:	-0.09	0.03
67493	G5V:	-0.09	0.02
67501	K8V:	-0.30	0.02
67518	G0V:	-0.13	0.02
67519	K2III:	-0.15	0.02
67537	K1III	-0.12	0.00
67545	K0III:	-0.13	0.00
67587	F8V:	-0.05	0.02
67595	K0V:	-0.45	0.02
67598	K0III:	-0.23	0.02
67609	G5V:	-0.20	0.00
67614	F8V:	-0.13	0.02
67627	M3III	-0.08	0.01
67628	K0V:	-0.18	0.02
67650	G0III	-0.10	0.02
67662	M3III:	-0.25	0.01
67667	G5/G6V	-0.14	0.01
67671	K0III:	-0.07	0.01
67672	G5V:	-0.11	0.03
67673	F5III	-0.02	0.00
67676	G5V:	-0.08	0.03
67686	F2V:	-0.06	0.02
67700	K0/K1III	-0.29	0.04
67701	K2III:	-0.17	0.05
67703	B9V	-0.02	0.00
67716	G1III	-0.12	0.02
67730	M0III	-0.05	0.02
67751	K2III	-0.04	0.01
67752	A2V:	-0.05	0.01
67766	G0III	-0.15	0.02
67768	G5V:	-0.11	0.02
67771	K0III	-0.04	0.01
67773	K1V	-0.04	0.01
67782	A7V	-0.01	0.00
67789	G0V:	-0.09	0.03
67790	K2III:	-0.07	0.02
67799	M4III:	-0.23	0.01
67808	M0V:	-0.03	0.00
67812	K5III:	-0.21	0.02
67825	G0V:	-0.03	0.00
67830	M4III	-0.11	0.03
67832	F8V:	-0.10	0.03
67854	K2III:	-0.13	0.02
67882	K0V:	-0.08	0.01
67883	F8V:	-0.09	0.01
67884	F5V:	-0.19	0.02
67890	K2III	-0.07	0.00
67897	K0III:	-0.04	0.01
67913	K0III	-0.03	0.01
67923	F0V:	-0.16	0.03
67929	K2III	-0.10	0.00
67935	K0III:	-0.06	0.02
67937	K0III:	-0.08	0.02
67943	K5III:	-0.15	0.02
67962	K5III:	-0.12	0.03
67963	G5V:	-0.11	0.02
67966	G5V:	-0.21	0.03
67971	K0III	-0.07	0.02
67979	M0III	-0.08	0.00
67984	M5III	-0.48	0.02
67994	K5III:	-0.09	0.03
67998	G5V:	-0.14	0.03
68042	G3III	-0.09	0.02
68049	K5V:	-0.51	0.09
68054	K0III	-0.06	0.01
68057	G5V:	-0.05	0.00
68066	K0V:	-0.10	0.02
68072	G5V:	-0.06	0.02
68082	F0V:	-0.06	0.01
68091	G5III	-0.13	0.02
68092	A8V	-0.03	0.01
68099	K0III	-0.07	0.01
68108	K0III:	-0.08	0.01
68111	K2III:	-0.25	0.02
68137	M7III:	-1.28	0.04
68158	G0V:	-0.33	0.09
68159	G5V:	-0.25	0.02
68162	G2V	-0.04	0.00
68169	K0III:	-0.05	0.02
68172	G5III	-0.22	0.04
68174	F8V:	-0.06	0.02
68190	K5III:	-0.47	0.03
68191	K4III	-0.30	0.06
68213	K0III	-0.09	0.01
68216	K0III:	-0.07	0.01
68246	F5V:	-0.02	0.00
68255	G3V	-0.03	0.01
68262	G3III	-0.12	0.02
68264	F2V:	-0.21	0.06
68266	K0III:	-0.03	0.01
68267	K0III	-0.06	0.01
68279	K5III	-0.02	0.01
68306	K2III:	-0.11	0.04
68311	K0III:	-0.15	0.02
68326	K2III:	-0.13	0.01
68327	K0III:	-0.05	0.02
68349	F5V:	-0.05	0.02
68353	K0III:	-0.14	0.02
68357	M7III	-0.84	0.03
68361	F8V:	-0.12	0.02
68369	K0III:	-0.11	0.01
68370	G5V:	-0.11	0.04
68371	K5III:	-0.35	0.06
68375	K4III	-0.18	0.01
68377	G5V:	-0.15	0.02
68402	F7V:	-0.13	0.02
68403	M0V:	-0.10	0.02
68404	K0III:	-0.09	0.02
68433	G0V:	-0.12	0.01
68449	K0III:	-0.11	0.02
68450	G0V:	-0.12	0.03
68453	K0III:	-0.14	0.02
68461	G5III	-0.14	0.02
68482	G0V:	-0.14	0.01
68484	F8V:	-0.12	0.02
68500	M4III	-0.15	0.02
68507	G0/G1:V:	-0.11	0.02
68510	K5III:	-0.14	0.02
68513	K0III:	-0.19	0.02
68519	K2III	-0.43	0.02
68537	K5III:	-0.04	0.01
68544	G0V:	-0.18	0.06
68545	K0III:	-0.10	0.02
68546	K0III:	-0.08	0.02
68553	G0V:	-0.09	0.03
68556	K0:III	-0.13	0.02
68577	K0III:	-0.10	0.01
68585	G5V:	-0.13	0.01
68590	K5III:	-0.43	0.02
68614	K5III:	-0.08	0.02
68633	K0III:	-0.08	0.02
68637	A2V	-0.02	0.00
68656	K7III:	-0.34	0.02
68672	K1III	-0.06	0.02
68676	K2III:	-0.25	0.02
68687	G9III	-0.04	0.00
68709	K0III:	-0.04	0.01
68723	K5III:	-0.25	0.02
68724	F5V:	-0.08	0.02
68732	K5V:	-0.08	0.02
68734	K0V:	-0.07	0.01
68756	A0III	-0.05	0.01
68760	G8III	-0.04	0.01
68763	K1III	-0.03	0.00
68776	K0III:	-0.01	0.00
68777	F8V:	-0.19	0.04
68792	G5V:	-0.05	0.01
68796	G5V:	-0.09	0.02
68799	K0V:	-0.10	0.02
68803	K0III	-0.04	0.01
68809	K0V:	-0.06	0.02
68812	K0V:	-0.30	0.02
68813	K2III	-0.05	0.02
68815	M6.5III	-0.76	0.02
68828	K0III:	-0.08	0.01
68841	K4III	-0.18	0.02
68843	G0V:	-0.07	0.02
68850	G5V:	-0.13	0.03
68861	K0III:	-0.17	0.05
68881	K0/K1III/IV	-0.28	0.04
68893	K5III:	-0.05	0.01
68905	K0III:	-0.14	0.02
68915	M1/M2III	-0.06	0.02
68932	K0III:	-0.03	0.01
68937	M4III	-0.14	0.01
