hip	spect	ext	sigma_ext
4248	G2/G3V	-0.11	0.02
4283	A4V	-0.01	0.00
4289	K2III	-0.14	0.01
4317	M4III	-0.17	0.01
4319	G2/G3V	-0.05	0.01
4326	K0III	-0.02	0.00
4336	K4III	-0.07	0.02
4339	G0V:	-0.11	0.03
4360	K1III	-0.02	0.00
4365	M0V:	-0.10	0.02
4375	G0V:	-0.11	0.02
4394	K5V	-0.21	0.02
4424	K0III	-0.09	0.01
4436	A5V	-0.02	0.00
4444	M0III	-0.07	0.02
4445	K5III:	-0.39	0.05
4447	K5III:	-0.24	0.04
4468	M0V:	-0.10	0.02
4486	K2III	-0.10	0.01
4495	F8V:	-0.07	0.02
4501	K2III	-0.17	0.00
4504	F8V:	-0.06	0.01
4507	K7III:	-0.08	0.02
4517	K3III	-0.04	0.01
4520	G8III	-0.03	0.00
4527	K1III	-0.05	0.02
4552	K0III:	-0.03	0.01
4568	G8V	-0.29	0.02
4577	B7III	-0.03	0.01
4579	F5V:	-0.09	0.02
4584	A0V:	-0.08	0.01
4589	K5III:	-0.15	0.03
4605	F0V:	-0.26	0.02
4606	K0III	-0.09	0.01
4621	M2III:	-0.12	0.02
4624	K5II-III	-0.01	0.00
4637	F5V:	-0.03	0.01
4656	K0III	-0.09	0.00
4658	M3III	-0.07	0.01
4665	G8III	-0.06	0.02
4692	G0V	-0.06	0.02
4696	K2III	-0.18	0.01
4707	M4III	-0.32	0.02
4712	K0III:	-0.05	0.01
4720	K0V:	-0.05	0.02
4726	M4III	-0.11	0.02
4743	K1III:	-0.17	0.04
4749	G8III	-0.17	0.02
4759	K2III:	-0.19	0.03
4794	K0III	-0.13	0.00
4808	K5III:	-0.29	0.03
4810	G0V:	-0.12	0.02
4812	F5V:	-0.05	0.01
4813	K5III:	-0.15	0.03
4815	G5V	-0.05	0.00
4820	F8V:	-0.05	0.01
4833	G3V	-0.07	0.01
4843	G8III	-0.92	0.01
4857	F8V:	-0.07	0.02
4868	F7V	-0.04	0.00
4890	G8III	-0.03	0.00
4892	G5V	-0.11	0.01
4894	K0III:	-0.12	0.01
4896	G5V	-0.08	0.02
4918	M0III:	-0.04	0.01
4935	M3III	-0.06	0.02
4942	F5V:	-0.06	0.01
4958	G2V	-0.08	0.00
4960	G5III	-0.10	0.03
4965	F5V:	-0.19	0.01
4966	G5V:	-0.08	0.00
4979	F1V	-0.05	0.01
4981	G3V	-0.07	0.02
4984	F8V:	-0.02	0.00
4989	F8V:	-0.08	0.01
5016	G0V:	-0.05	0.01
5019	G8III	-0.09	0.02
5034	F7IV-V	-0.05	0.01
5049	F8V:	-0.07	0.02
5078	F5V:	-0.04	0.01
5082	K3III	-0.20	0.02
5113	G5V:	-0.19	0.02
5114	M0V:	-0.44	0.01
5121	K0III	-0.02	0.00
5123	K2III:	-0.16	0.03
5131	A1V	-0.02	0.00
5132	A0V	-0.03	0.00
5135	K1III/IV	-0.20	0.01
5158	K5V:	-0.07	0.00
5165	G8III	-0.04	0.00
5170	K1III	-0.03	0.01
5183	G2V	-0.02	0.00
5196	G8III	-0.05	0.02
5215	M3V:	-0.07	0.02
5240	K2III	-0.01	0.00
5261	M0III:	-0.21	0.04
5273	K5V:	-0.14	0.02
5277	F8V:	-0.07	0.02
5302	G2V	-0.04	0.01
5304	G5III	-0.11	0.02
5326	K0V:	-0.14	0.00
5341	K0III	-0.10	0.01
5364	K2III	-0.04	0.01
5409	M2III:	-0.30	0.10
5411	K3III	-0.11	0.02
5412	K0III:	-0.11	0.01
5415	G3V	-0.06	0.01
5432	K0III:	-0.11	0.02
5478	K0III	-0.08	0.01
5480	F8V:	-0.05	0.01
5483	M0III	-0.04	0.01
5521	K0V:	-0.08	0.01
5542	A7V	-0.04	0.00
5544	F0V	-0.04	0.01
5557	K0III:	-0.07	0.02
5559	M3III	-0.16	0.02
5566	B9.5V	-0.01	0.00
5571	K0III	-0.01	0.00
5605	G8III/IV	-0.07	0.02
5626	A3V	-0.08	0.00
5646	F8V:	-0.07	0.01
5662	K7V:	-0.17	0.02
5667	G5V:	-0.31	0.05
5692	K1III/IV	-0.09	0.03
5694	B8V:	-0.03	0.01
5695	K0III	-0.12	0.02
5700	G5V	-0.03	0.00
5713	G5V	-0.06	0.02
5731	K0III	-0.11	0.02
5735	G3V	-0.20	0.02
5738	F8V:	-0.21	0.02
5740	G3V	-0.05	0.00
5746	M0III:	-0.22	0.03
5749	K5III:	-0.34	0.02
5769	G1V	-0.06	0.02
5774	G5V:	-0.17	0.03
5802	G0V	-0.02	0.00
5817	K0IV/V	-0.05	0.00
5831	G5V	-0.02	0.00
5833	F5V	-0.01	0.00
5836	G0V:	-0.23	0.04
5838	K1III	-0.10	0.03
5866	G8III/IV	-0.02	0.00
5868	M3III	-0.15	0.03
5887	A2V:	-0.04	0.01
5894	G5V:	-0.06	0.02
5928	K2III:	-0.08	0.01
5938	K0V	-0.06	0.01
5977	F6V	-0.05	0.01
5979	M0/M1III	-0.10	0.02
6001	K7V:	-0.17	0.02
6017	G0V:	-0.11	0.02
6039	M4III	-0.14	0.01
6057	K1III-IV	-0.09	0.01
6061	A3V	-0.01	0.00
6065	K2III	-0.03	0.01
6093	M5III:	-0.21	0.01
6110	G0V:	-0.13	0.02
6130	K1V	-0.07	0.02
6155	G0V	-0.06	0.02
6159	G2V	-0.03	0.01
6191	M6III	-0.49	0.03
6193	A3V	-0.05	0.01
6194	F5V:	-0.11	0.02
6195	K0III:	-0.08	0.02
6207	M4III	-0.07	0.02
6212	F8V:	-0.09	0.02
6220	M4III:	-0.15	0.02
6233	G1V	-0.06	0.00
6246	G0V:	-0.07	0.02
6265	F5V:	-0.08	0.02
6272	K1III	-0.01	0.00
6283	K1III	-0.10	0.00
6288	K0III	-0.04	0.01
6314	K0III:	-0.04	0.01
6315	K5III	-0.05	0.00
6335	K1III	-0.16	0.02
6342	M2V:	-0.07	0.02
6376	K0III:	-0.08	0.01
